ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,119.549,2021-02-05 05:46:24,0.0
0.2,0.0,123.196,2021-02-05 05:46:25,0.0
0.2,0.0,126.979,2021-02-05 05:46:26,0.0
0.2,0.0,123.203,2021-02-05 05:46:27,0.0
0.2,0.0,117.718,2021-02-05 05:46:28,0.0
0.2,0.0,134.022,2021-02-05 05:46:29,0.0
0.2,0.0,108.074,2021-02-05 05:46:30,0.0
0.2,0.0,120.347,2021-02-05 05:46:31,0.0
0.2,0.0,131.131,2021-02-05 05:46:32,0.0
0.2,0.0,132.342,2021-02-05 05:46:33,0.0
0.2,0.0,108.406,2021-02-05 05:46:34,0.0
0.2,0.0,117.224,2021-02-05 05:46:35,0.0
0.2,0.0,121.772,2021-02-05 05:46:36,0.0
0.2,0.0,105.928,2021-02-05 05:46:37,0.0
0.2,0.0,104.216,2021-02-05 05:46:38,0.0
0.2,0.0,106.433,2021-02-05 05:46:39,0.0
0.2,0.0,114.404,2021-02-05 05:46:40,0.0
0.2,0.0,123.765,2021-02-05 05:46:41,0.0
0.2,0.0,126.57,2021-02-05 05:46:42,0.0
0.2,0.0,136.03,2021-02-05 05:46:43,0.0
0.2,0.0,113.091,2021-02-05 05:46:44,0.0
0.2,0.0,125.579,2021-02-05 05:46:45,0.0
0.2,0.0,132.277,2021-02-05 05:46:46,0.0
0.2,0.0,131.552,2021-02-05 05:46:47,0.0
0.2,0.0,126.429,2021-02-05 05:46:48,0.0
0.2,0.0,130.05,2021-02-05 05:46:49,0.0
0.2,0.0,127.007,2021-02-05 05:46:50,0.0
0.2,0.0,121.292,2021-02-05 05:46:51,0.0
0.2,0.0,118.26,2021-02-05 05:46:52,0.0
0.2,0.0,119.565,2021-02-05 05:46:53,0.0
0.2,0.0,137.535,2021-02-05 05:46:54,0.0
0.2,0.0,143.298,2021-02-05 05:46:55,0.0
0.2,0.0,121.291,2021-02-05 05:46:56,0.0
0.2,0.0,117.215,2021-02-05 05:46:57,0.0
0.2,0.0,138.763,2021-02-05 05:46:58,0.0
0.2,0.0,151.757,2021-02-05 05:46:59,0.0
0.2,0.0,146.343,2021-02-05 05:47:00,0.0
0.2,0.0,131.168,2021-02-05 05:47:01,0.0
0.2,0.0,120.072,2021-02-05 05:47:02,0.0
0.2,0.0,140.384,2021-02-05 05:47:03,0.0
0.2,0.0,133.307,2021-02-05 05:47:04,0.0
0.2,0.0,127.88,2021-02-05 05:47:05,0.0
0.2,0.0,121.269,2021-02-05 05:47:06,0.0
0.2,0.0,117.4,2021-02-05 05:47:07,0.0
0.2,0.0,150.832,2021-02-05 05:47:08,0.0
0.2,0.0,126.382,2021-02-05 05:47:09,0.0
0.2,0.0,132.364,2021-02-05 05:47:10,0.0
0.2,0.0,93.36,2021-02-05 05:47:11,0.0
0.2,0.0,102.72,2021-02-05 05:47:12,0.0
0.2,0.0,150.282,2021-02-05 05:47:13,0.0
0.2,0.0,131.428,2021-02-05 05:47:14,0.0
0.2,0.0,137.006,2021-02-05 05:47:15,0.0
0.2,0.0,131.655,2021-02-05 05:47:16,0.0
0.2,0.0,114.007,2021-02-05 05:47:17,0.0
0.2,0.0,119.519,2021-02-05 05:47:18,0.0
0.2,0.0,109.846,2021-02-05 05:47:19,0.0
0.2,0.0,128.017,2021-02-05 05:47:20,0.0
0.2,0.0,153.265,2021-02-05 05:47:21,0.0
0.2,0.0,137.599,2021-02-05 05:47:22,0.0
0.2,0.0,154.115,2021-02-05 05:47:23,0.0
0.2,0.0,150.865,2021-02-05 05:47:24,0.0
0.2,0.0,158.619,2021-02-05 05:47:25,0.0
0.2,0.0,172.907,2021-02-05 05:47:26,0.0
0.2,0.0,138.874,2021-02-05 05:47:27,0.0
0.2,0.0,141.147,2021-02-05 05:47:28,0.0
0.2,0.0,104.934,2021-02-05 05:47:29,0.0
0.2,0.0,121.828,2021-02-05 05:47:30,0.0
0.2,0.0,132.89,2021-02-05 05:47:31,0.0
0.2,0.0,132.473,2021-02-05 05:47:32,0.0
0.2,0.0,120.305,2021-02-05 05:47:33,0.0
0.2,0.0,132.297,2021-02-05 05:47:34,0.0
0.2,0.0,142.554,2021-02-05 05:47:35,0.0
0.2,0.0,121.405,2021-02-05 05:47:36,0.0
