ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
197.617,0.1,2023-02-01 20:01:24,0.0,0.0
215.545,0.1,2023-02-01 20:01:25,0.0,0.0
226.915,0.1,2023-02-01 20:01:26,0.0,0.0
243.24,0.1,2023-02-01 20:01:27,0.0,0.0
171.465,0.1,2023-02-01 20:01:28,0.0,0.0
186.825,0.1,2023-02-01 20:01:29,0.0,0.0
174.046,0.1,2023-02-01 20:01:30,0.0,0.0
158.277,0.1,2023-02-01 20:01:31,0.0,0.0
133.755,0.1,2023-02-01 20:01:32,0.0,0.0
121.012,0.1,2023-02-01 20:01:33,0.0,0.0
136.876,0.1,2023-02-01 20:01:34,0.0,0.0
143.863,0.1,2023-02-01 20:01:35,0.0,0.0
173.771,0.1,2023-02-01 20:01:36,0.0,0.0
216.354,0.1,2023-02-01 20:01:37,0.0,0.0
195.318,0.1,2023-02-01 20:01:38,0.0,0.0
239.052,0.1,2023-02-01 20:01:39,0.0,0.0
257.903,0.1,2023-02-01 20:01:40,0.0,0.0
215.607,0.1,2023-02-01 20:01:41,0.0,0.0
179.378,0.1,2023-02-01 20:01:42,0.0,0.0
177.893,0.1,2023-02-01 20:01:43,0.0,0.0
92.091,0.1,2023-02-01 20:01:44,0.0,0.0
109.687,0.1,2023-02-01 20:01:45,0.0,0.0
123.749,0.1,2023-02-01 20:01:46,0.0,0.0
149.477,0.1,2023-02-01 20:01:47,0.0,0.0
190.766,0.1,2023-02-01 20:01:48,0.0,0.0
190.793,0.1,2023-02-01 20:01:49,0.0,0.0
234.403,0.1,2023-02-01 20:01:50,0.0,0.0
212.223,0.1,2023-02-01 20:01:51,0.0,0.0
192.292,0.1,2023-02-01 20:01:52,0.0,0.0
217.583,0.1,2023-02-01 20:01:53,0.0,0.0
210.838,0.1,2023-02-01 20:01:54,0.0,0.0
169.544,0.1,2023-02-01 20:01:55,0.0,0.0
159.488,0.1,2023-02-01 20:01:56,0.0,0.0
139.012,0.1,2023-02-01 20:01:57,0.0,0.0
206.084,0.1,2023-02-01 20:01:58,0.0,0.0
129.1,0.1,2023-02-01 20:01:59,0.0,0.0
124.149,0.1,2023-02-01 20:02:00,0.0,0.0
114.657,0.1,2023-02-01 20:02:01,0.0,0.0
102.668,0.1,2023-02-01 20:02:02,0.0,0.0
128.459,0.1,2023-02-01 20:02:03,0.0,0.0
117.531,0.1,2023-02-01 20:02:04,0.0,0.0
128.761,0.1,2023-02-01 20:02:05,0.0,0.0
156.945,0.1,2023-02-01 20:02:06,0.0,0.0
198.904,0.1,2023-02-01 20:02:07,0.0,0.0
237.755,0.1,2023-02-01 20:02:08,0.0,0.0
267.577,0.1,2023-02-01 20:02:09,0.0,0.0
295.089,0.1,2023-02-01 20:02:10,0.0,0.0
189.279,0.1,2023-02-01 20:02:11,0.0,0.0
115.997,0.1,2023-02-01 20:02:12,0.0,0.0
99.901,0.1,2023-02-01 20:02:13,0.0,0.0
68.753,0.1,2023-02-01 20:02:14,0.0,0.0
